prefix,type,owner,purpose,valid_until,note
95588,95,中国工商银行,银行客服热线,,五大行
95599,95,中国农业银行,银行客服热线,,五大行
95566,95,中国银行,银行客服热线,,五大行
95533,95,中国建设银行,银行客服热线,,五大行
95559,95,交通银行,银行客服热线,,五大行
95555,95,招商银行,银行客服热线,,股份制
95558,95,中信银行,银行客服热线,,股份制
95595,95,中国光大银行,银行客服热线,,股份制
95568,95,中国民生银行,银行客服热线,,股份制
95577,95,华夏银行,银行客服热线,,股份制
95561,95,兴业银行,银行客服热线,,股份制
95528,95,上海浦东发展银行,银行客服热线,,股份制
95508,95,广发银行,银行客服热线,,股份制
95526,95,北京银行,银行客服热线,,城商行
95580,95,中国邮政储蓄银行,银行客服热线,,国有
95302,95,南京银行,银行客服热线,,城商行
95511,95,中国平安,保险/银行综合客服,,综合金融
95518,95,中国人民保险（PICC）,财险客服,,保险
95519,95,中国人寿,保险客服,,保险
95500,95,中国太保（CPIC）,保险客服,,保险
95522,95,泰康人寿,保险客服,,保险
95567,95,新华保险,保险客服,,保险
95589,95,太平人寿,保险客服,,保险
95590,95,大地保险,保险客服,,保险
95510,95,阳光保险,保险客服,,保险
95585,95,中华联合保险,保险客服,,保险
95338,95,顺丰速运,快递客服,,物流
95311,95,德邦快递,快递客服,,物流
95188,95,支付宝（蚂蚁集团）,客服热线,,互联网
95,95,全国呼叫中心/银行客服号段,银行/保险/企业客服,,"具体单位需按完整号段在 nac.miit.gov.cn 查询；陌生 95 号多为合规客服，也常被冒用，请核验"
960,96,区域呼叫中心号段,本地营销/催收/客服,,96 号段多为区域呼叫中心，陌生来电常为营销或催收，请警惕
961,96,区域呼叫中心号段,本地营销/催收/客服,,同上
962,96,区域呼叫中心号段,本地营销/催收/客服,,同上
963,96,区域呼叫中心号段,本地营销/催收/客服,,同上
965,96,区域呼叫中心号段,本地营销/催收/客服,,同上
966,96,区域呼叫中心号段,本地营销/催收/客服,,同上
967,96,区域呼叫中心号段,本地营销/催收/客服,,同上
968,96,区域呼叫中心号段,本地营销/催收/客服,,同上
969,96,区域呼叫中心号段,本地营销/催收/客服,,同上
10690,106,三网合一短信通道,短信验证码/通知,,增值电信
10655,106,中国联通短信通道,短信,,运营商
10657,106,中国移动短信通道,短信,,运营商
10659,106,中国电信短信通道,短信,,运营商
1066,106,省级短信通道,短信/营销,,增值电信
1069,106,跨省/全国短信通道,短信/营销,,增值电信
400,400,企业全国统一客服号,企业申请的客服热线,,"具体单位需按完整号段在 nac.miit.gov.cn 查询"
800,800,企业免费客服号,企业申请的免费客服热线,,"具体单位需按完整号段在 nac.miit.gov.cn 查询"
